
0.8957,21,1000,population,avgPrecision,0.8,0.3,500000,5.0E-5,	21,3.032072841546718E-5,1111111111011111001101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0.8957,21,1000,population,avgPrecision,0.8,0.3,500000,5.0E-5,	21,9.72734582229684E-5,1111111011111111111000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0.8957,21,100,population,avgPrecision,0.8,0.3,50000,5.0E-5,	21,1.382702311070183E-5,1111111111111110010010100000001000000000100000000000000000000000000000000000000000000000000100000000
0.8957,21,100,population,avgPrecision,0.8,0.3,50000,5.0E-5,	21,2.2268235459699248E-5,1111111111111010110110000000010000000000001000000000000000000000000001000000000000000000000000000000
0.8957,21,100,population,avgPrecision,0.8,0.3,50000,5.0E-5,	20,3.7227069759948606E-5,1111111111111110110011000000000000000000000000000000000000000000000000000000000000000000000000000100
0.8957,21,100,population,avgPrecision,0.8,0.3,50000,5.0E-5,	21,1.3679177443770563E-5,1111111111111110100001000001001000000100000000000000000000000000001000000000000000000000000000000000
0.8957,21,100,population,avgPrecision,0.8,0.3,50000,5.0E-5,	21,9.511468923240063E-5,1111111110111101100111000001010000100000000000000000000000000000000000000000000000000000000000000000
0.8957,21,100,population,avgPrecision,0.8,0.3,100000,5.0E-5,	21,4.6496468761869636E-5,1111111111111101110010000000000000000000001000000000010000000000010000000000000000000000000000000000
0.8957,21,100,population,avgPrecision,0.8,0.3,100000,5.0E-5,	20,1.5137387353370002E-5,1111111111110111100100110000001000000000000000000000000000000000000000000000000000000000000000000000
0.8957,21,100,population,avgPrecision,0.8,0.3,100000,5.0E-5,	21,3.7257698602410905E-5,1111111111111110110000000001000000011000000000000000000000000000000000000000000000000000000000000010
